That you lusted not this night any supper make.	--+---+--+-+
So long as I am pleased.	-+---+
So shall the credle do,	---+-+
Ha, ha, now Lust and Liking is my name.	-+-+-+---+
All revel and riot,	-+--+-
Or to make a sayle	--+-+
Set in better	+-+-
But for I am a mayde,	-+-+-+
Where the Muses dwell; c.	+-+---
Of a notable prince, that was called king John;	--+--+--+-+
And he ruled England with maine and with might,	--++--+--+
For he did great wrong, and maintein'd little right.	--+-+--+--+
How for his house-keeping, and high renowne,	---++--+-+
They rode post for him to faire London towne.	--+----+-+
To have for his spending, sufficient of hops,	-+--+--+--+
Must willingly follow, of choices to choose.	-+--+--+--+
Such lessons approved, as skilful do use.	-+--+-+--+
My heart's in the Highlands, my heart is not here;	-+--+--+--+
My heart's in the Highlands, a-chasing the deer;	-+--+---+-+
Chasing the wild deer and following the roe,	+--+--+---+
My heart's in the Highlands wherever I go.	-+--+--+--+
To go with the best,	-+--+
Up gold in his chest.	-+--+
For nine days the king hath slept not an hour	-+--+-+--+-
And taketh no heed of soft words or beseeching.	-+--+--+--+-
To kiss the fair maids and possess the rich fleece.	-+--+--+--+
Thynke you a Roman with the Romans cannot lye?	+--+---+---+
In a somer season, when soft was the sonne	--+-+--+--+
They caught their speares, their horses ran, as though there had	-+-+-+-+-+-+
And struck them each amidst their shields, wherewith they broke	-+-+-+-+-+-+
Werther had a love for Charlotte, such as words could never	+-+-+-+-+-+-+-
Would you know how first he met her? she was cutting bread	+-+-+-+-+-+-+
Ah! what pleasant visions haunt me, as I gaze upon the sea:	+-+-+-+-+-+-+-+
All the old romantic legends, all my dreams come back to me!	+-+-+-+-+-+-+-+
The Britons thus departed hence, seven Kingdoms here begone,	-+-+-+-+--+-+-+
Hasten, Lord, to rescue me and set me saue from trouble;	+-+-+-+-+-+-+-
Shame thou those who seek my soul, reward their mischief double.	+-+-+-+-+-+-+-
Of Albion's glorious isle the wonders whilst I write,	-+--+--+-+-+-+
The sundry varying soils, the pleasures infinite.	-+-+--+-+-+-+
When youth had led me half the race	-+-+-+-+
That Cupid's scourge had made me run;	-+-+-+-+
I looked back to mete the place	-++-+-+
From whence my weary course begun.	-+-+-+-+
A chieftain to the highlands bound	-+-+-+-+
And I'll give thee a silver pound	-+-+-+-+
For selden y am sad.	-+-+-+
An angelle send to the;	-+-+-+
Or things as rare,	-+-+
For all the cost... c.	-+-+-
Since faith is dead,	-+-+
And truth away	-+-+
From me is fled?	-+-+
For might is riht, I am the knight,	-+-+-+-+
Liht is night, I come by night.	+-+-+-+
A knight ther was, and that a worthy man.	-+-+-+-+-+
Of an holy man.	+-+-+
Alex was his right name, To serve god thought him no shame,	+-+-++-++-+-+
