Beseeching him with prayer, and with praise,	+-+---+-+
And after, Amor vincit omnia.	-+-+-+-++
For she had great doubt of his safety,	-+-++---+
Anguish and doubt and fear and sorrow and pain	+--+-+-+---
In words, as fashions, the same rule will hold;	-+-+-+-+--
Him thought how that the winged god Mercury	-+-+-+-++-
That thou and I be damned to prison	---+-+-++
And ever, against eating cares,	-+---+--
Then ye may tell, how pell and mell,	-----+-+
Rocks, Caves, Lakes, Fens, Bogs, Dens, and shades of death,	-+-+------
That I may live to love her.	-+-+-+-
They drink the sweet and eat the fat,	-+-+-+-+
But, Thou art good; and Goodness still	-+-+-+-+
The Piper loud and louder blew,	-+-+-+--
And art thou gone, and gone for ever!	-+-+-+-+-
Then raptur’d sip, and sip it up.	---+---+
And withers the faster, the faster it grows:	-+--+--+--+
We plough the deep, and reap what others sow.	-+-+-+-+--
O happy love! where love like this is found:	-+-+-+-+--
He never meant with words, but swords to plead his right.	-+-+-+-+-+--
And by the Pope’s mediation,	+--+-+++
Loud as from numbers without number, sweet	+--+-+-+-+
Silence, and Sleep listning to thee will watch,	+--++--+-+
To me, that am thy cousin and thy brother	-+-+---+-+-
Such faults, at which it is a fault to smile?	-+---+-+--
There are. Vice, once by modest nature chain'd	-+---+---+
Is doubtful; that he never will is sure.	---+-+-+-+
He met her, and in secret shades	-+---+-+
How art thou lost, how on a sudden lost,	+--++----+
With ruin upon ruin, rout on rout,	-+-+---+-+
To call you's lost;	-+-+
For all the cost	-+-+
Shall we not sing an ODE?	---+-+
Listen where thou art sitting	+-+--+-
Tho’ the tear were in her eye.	--+-+--
Let them sleep: let them sleep on,	--++--+
Haste thee, Nymph, and bring with thee	+---+-+
Quips and cranks and wanton wiles,	+-+---+
And the milkmaid singeth blithe,	+-+-+-+
Still to be neat, still to be drest,	+--++--+
Give me a look, give me a face	+---+--+
Two blissful twins are to be born,	-+-++--+
And, as I wake, sweet music breathe	-+-+-+-+
Sweet bird, that shunn'st the noise of folly,	-+-+-+-+-
In sesons past, who hath herde or sene	-+-+--+--
What frantyk frensy fyll in your brayne?	-+-+-+---
Want as much more, to turn it to its use;	+--+-+-+-+
So dreadful to thee? that thou art naked, who	-+-+-+--+-+
Ages of hopeless end; this would be worse.	+--+-++--+
In the Visions of God:  It was a Hill	+-+--++---
In the bosom of bliss, and light of light	+------+-+
But to vanquish by wisdom hellish wiles!	+----+---+
In Southwark at the Tabard as I lay,	-+-+-+-+-+
I heard thee in the Garden, and of thy voice	-+-+---+--+
To gaze on earthly wight that with the Night durst ride.	-+-+-++--+--
A mayny of rude villayns made hym for to blede;	---+-+-+-+-+
Not all after the text of Holy Writ;	-++--+-+--
A mind not to be chang’d by Place or Time.	-++--+-+--
Frantyke and mad;	+--+
Never mortal heard	+-+-+
The wild goat in awe	-+--+
Whirlest, shatter'st, splitt'st,	+---+
Oft did a priestess, as lovely as a vision,	+-----+-+---
The lutel foul hath hire wyl	-+-+---+
And we did speak only to break	-+-++---
