When the British warrior queen	+-+-+--+
In the hexameter rises the fountain's silvery column	+--+--+--+++--++
of rite, fate, beat, Europe, omen, awkward, etc. always	-++++-+-+-------
Twinkled the innumerable ear and tail;	+---+-+-+-+
Twinkled the innumerable ear and tail--	+---+-+-+-+
and of course of one long syllable only Earth-, Hea-, O-;	-----------+++
A spirit haunts the year's la st hours;	-+-+-++-+-
For at eventide listening earnestly.	--+--+--+-+
E. g. fate or fast as opposed to fat; meet to deter;	--+-+-----+---
rite to fit; omen to otter; dupe to but.	+--+----+--
of ilk an evil he was ware.	-+-+-+-+
Of many a lady and many a paramour!	----+--+--+--
Trisyllabic at phurous and, riers to, and ity o. Redundance	-------+-+---+---
Follow thy fair sun, unhappy shadow!	+-+-+-+-+-
Though thou be black as night,	-+-+-+
Time made thee what thou wast, king of the woods,	++----+---
Sir Botelier then having conquer'd his twayne,	-+--+--+-++
Ro de conqueror off the tourneying playne,	--+--+-+--+
Receiving a garland from Alice's hand,	-+--+--+--+
The fairest lady e in the lande.	-+-+--+-+
The wild wi nds weep	-+--+
And the night is a-cold;	--+--+
And my griefs unfold.	--+-+
But lo! the morning peeps	-+-+-+
Over the easte rn steeps,	+--+-+
And the rustling beds of dawn	--+-+-+
The earth do scorn.	-+-+
Lo! to the vault	+--+
Of pave d heaven,	-+-+-
With sorrow fraught,	-+-+
My notes a re driven.	-+--+-
They strike the ear of night,	-+-+-+
Make weep the eyes of day;	++-+-+
And with tempests play.	--+-+
Like a fiend in a cloud,	--+--+
With howling woe	-+-+
And with night will go;	--+-+
I turn my back to the East,	-+-+--+
For light doth seize my brain	-+-+-+
With frantic pain.	-+-+
Like the round ocean, girdled with the sky.	+-++------
Tis the middle of night by the castle clock,	--+--+--+-+
And the owls have awakened the crowing cock,	--+--+--+-+
And hark, again! the crowing co ck,	-+-+-+++-
Sir Leoline, the Baron rich,	-++-+-+
Hath a toothless mastiff, which	+-+-+-+
From her kennel beneath the rock	+-+--+-+
Maketh answer to the clock,	+-+-+-+
Four for the quarters and twelve for the hour;	+--+--+--+-
Ever and aye, by shine and shower,	+--+-+-+-
So me say, she sees my lady s shroud.	+-+-+-+--+
Is the night chilly and dark?	+-++--+
The night is chilly, but not dark.	-+-+-+-+
The thin gray cloud is spread on high,	-+++-+-+
It covers but not hides the sky.	-+-+-+-+
The moon is behind, a nd a t the full;	-+--++----+
And yet she looks bo th small and dull.	-+-+---+-+
The night is chill, the cloud is gray:	-+-+-+-+
Tis a month before the month of May,	--+-+-+-+
And the spring co mes slowly up this way.	--+--+-+-+
Save the boss of the shield of Sir Leoline tall,	--+--+--+-+
Which hung in a murky old niche in the wall;	-+--+--+--+
In the touch of this bosom there worketh a spell.	--+--+--+--+
Of hope, and soft despair, and childli ke dreams,	--------+-+
O do rous and enlivening; making all	++---------
Guilty for the whim's sa ke! Guilty he somehow thinks.	+---++-+--+--
The plain wa s grassy, wild and bare,	-+--+-+-+
Wide, wild, and open to the air.	++-+-+-+
An und er-roof of doleful gray.	-+-+-+-+
With an inner voice the river ran,	--+-+-+-+
Adown it floated a dying swan,	-+-+--+-+
And loudly did lament.	-+-+-+
I t wa s the middle of the day.	-----+-+-+
Ever the weary wind went on,	+--+-+-+
An d took the reed-tops a s it went.	--+-+++--+
So me blu e peaks i n the distance rose,	----+---+-+
And white against the cold-white sky,	-+-+-+++
One willow over the river wept,	-+-+--+-+
And shook the wave as the wind did sigh;	-+-+--+-+
Above in the wind was the swallow,	-+--+--+-
Chas ing itself at its own wild will,	+--+--+++
And far thro' the marish green and still	-+--+-+-+
The tangled water-courses slept,	-+-+-+-+
Shot over with purple and green, and yellow.	-+--+--+-+-
The wild swa n's death-hy mn took the soul	-+--+--+-+
Of that waste place with joy	-+++-+
Hidden in sorrow: at first to the ear	+--+--+--+
The warble was low, and full and clear;	-+--+-+-+
And floating about the under-sky,	-+--+-+--
Prevailing in weakness, the coronach stole	-+--+--+--+
Sometimes afar, and sometimes anear;	+--+-+--+
But anon her awful jubilant voice,	--+-+-+--+
With a music strange and manifold,	--+-+-+-+
Flow'd forth on a carol free and bold;	++--+-+-+
As when a mihty people rejoice	-+-+-+--+
With shawms, and with cymbals, and harps of gold,	-+--+--+-+
And the tumult of their acclaim is roll'd	--+--+-+-+
Thro' the open gates of the city afar,	--+-+--+--+
To the shepherd who watcheth the evening star.	--+--+--+++
And the creep ing mosses and clambering weeds,	--+-+--+--+
And the willow-branches hoar and dank,	+-+-+-+-+
And the wavy swell of the soughing reeds,	--+-+--+-+
And the wave-worn horns of the echoing bank,	--+-++--+--+
And the silvery marish-flowers that throng	--+--+-+--+
The desolate creeks and pools among,	-+--+-+-+
Were flooded over with eddy ing song.	-+-+--+--+
Far below them in the valleys, and the clouds are lightly	+-+-+-+-+-+-+-
Cold and clear-cut face, why come you so cruelly meek,	+-+-+-+--+-+
Breaking a slumber in which all spleenful folly was drown'd,	+--+--+++-+--+
Pale with the golden beam of an eyelash dead on the cheek,	+--+-+--+-+--+
Love, what ailed thee to leave life that was made lovely we	+-+--++--++--
Terror and mystery, guard her shrine, I saw	+-----+----
To the palate grateful; more luscious were not in Eden;	+--++---------
This deliberate neglect of pronunciation palate for palate,	--------------+-+-
shepherd for shepherd has, in the last half-century or so,	-+-+-----------
Is my weary travail ended? Much further is in store.	-----+-+----+-
She had no home, the world was all before her,	+--+++---+-
