The world hath now for us	-+-+-+
The pain of parting thus. MOORE.	-+-+-+-
At the close of the day, when the hamlet is still,	--+--+--+--+
And the mortals the sweets of forgetfulness prove,	--+--+--+--+
And when nought but the torrent is heard on the hill,	--+--+--+--+
And there's nought but the nightingale's song in the grove. BEATTIE.	--+--+--+--+--
Abbot. And why not live and act with other men?	---+-+-+-+-+
Manfred. Because my nature was averse from life;	---+-+-+-+-+
And yet not cruel, for I would not make,	-+-+-+-+-+
But find a desolation: like the wind,	-+-+-+-+-+
The red-hot breath of the most lone simoom,	-+-+-+-+-+
Which dwells but in the desert, and sweeps o'er	-+-+-+-+-+
The barren sands which bear no shrubs to blast,	-+-+-+-+-+
And revels o'er their wild and arid waves,	-+-+-+-+-+
And seeketh not so that it is not sought,	-+-+-+-+-+
But being met is deadly: such hath been	-+-+-+-+-+
The path of my existence. BYRON.	-+-+-+---
The way was long, the wind was cold. SCOTT.	-+-+-+-+-
Under the blossom that hangs on the bough. SHAKSPEARE.	+--+--+--+--
But vainly thou warrest,	-+--+-
For this is alone in	-+--+-
Thy power to declare,	-+---+
That in the dim forest	-+--+-
Thou heard'st a low moaning,	-+--+-
And saw'st a bright lady surpassingly fair. COLERIDGE.	-+--+--+--+--
There's a beauty for ever unfadingly bright,	--+--+--+--+
Like the long ruddy lapse of a summer-day's night. MOORE.	--+--+--+--+-
The witch she held the hair in her hand,	-+-+-+--+
The red flame blazed high;	-+-++
And round about the caldron stout,	-+-+-+-+
dissever and for ever, and afterwards to men doubt it, and about	-+---+-------+---+
correct one. Dissever and for ever, are rather x a with a syllable	----+---+-----------
is, measures like x a, presume, or x x a, cavalier, can only vary from	-------+------+------
Queen and huntress, chaste and fair,	+-+-+-+
Now the sun is laid to sleep,	+-+-+-+
Seated in thy silver chair,	--+-+-+
State in wonted splendour keep.	+-+-+-+
Hesperus invokes thy light,	+-+-+-+
The formula for expressing fair, sleep, chair, c. is not a, but	--------+++-----
Mai oars tiget et to n pleach,	-+-----+
