Can ty rants but by ty rants con quered	++-+-+-+-
Holy, holy, holy! all the saints a dore	+-+-+-+-+-+
And the breath of the De ity cir cled the	x-+--+--+--
Hail to the chief who in triumph ad vances! Scott.	+--+--+--+-x
and a long one; as, betray, confess, demand, intent, degree.	xxxxx-+-+-+-x-+
long one; as, contravene, acquiesce, importune.	xxx--+--+--+
short ones; as, labourer, possible, wonderful.	xxx+--+--+--
short, the middle long; as, imprudent, consider, transported.	xxxxxx-+--+--+-
long ones; as, the whole world, a great vase, of pure gold.	xxx++--+++++
Bids me live but to hope for posterity's praise.	--+-++--+x-+
O all ye peo ple, clap your hands, and with trium	x+-+-+-+-++
Androm ache! my soul's far bet ter part,	x++++-+-+
Meet a lady	+++x
Vital spark of heav'nly flme,	+-+x+x+
Holy, holy holy! all the saints a dore thee,	+-+-+-+-+-+-
Casting down their golden crowns a round the	+-+-+-+-+-
Cheru bim and sera phim are, falling	+-+-+-+x+-
Which wert, and art, and ev ermore shalt be!	-+-+-+-+-+
Perfect in pow'r, in love, and pu rity.	+--+-+-+-+
Come un to these yellow sands,	+-+-+-+
And then take hands:	x+-+
I dle af ter dinn ner in his chair,	+-+-+-+-+
Sat a far mer, rud dý, fat, and fair.	+-+-+x+++
In the dark and green and gloomy valley,	+-+-+-+-+-
Satyrs by the brooklet love to dally.	+-+-+-+-+-
Where the wood is waving green and high,	+-+-+-+-+
Fauns and Dryads watch the starry sky.	+-++-+-x
Rule the ouphes and elves at will	xx+-+-+
That vex the air or haunt the hill,	-+-+-+-+
And all the fu ry sub ject keep	-+-+-+-+
Of boil ing cloud and chaf ed deep!	-+-+-+-+
I have seen, and well I know it!	x-+-+x+-
From walk to walk, from shade to shade,	-+-+-+-+
Full of grief and full of love.	+-+-+-+
To love and to languish,	-+--+-
To sigh and complain,	-+--+
How cruel's the anguish!	-+x-+-
How torment ing the pain!	--+--+
There came to the beach a poor Exile of Erin	-+--+--x--x-
For his coun try he sighed, when at twi	--+--++-+
From the low pleasures of this fallen nature,	+--+--+--+-
Distracted with woe,	-+--+
Ye shepherds so cheerful and gay,	-+--+--+
Should Corydon's happen to stray,	-+--+--+
My dear Irish folks,	-+x-+
And buy up my halfpence so fine;	x+--+--+
So fair and so bright,	-+--+
Ob serve how they glister and shine. SWIFT.	x+--+--+x
A cobler there was and he liv'd in a stall,	x+-x-+--+--+
Which serv'd him for kitchen, for parlour and hall;	-+--+--+--x
No coin in his pocket, no care in his pate;	-+--+--+--+
No am bition he had, and no duns at his gate.	--+--+--+--+
As he passed by the door,	x-++-+
The pave- ment stones resound	-+-+-+
As he totters o'er the ground	x-+-+-+
Know ye the land where the cypress and myrtle	+--+--+--+-
Are em blems of deeds that are done	-+--+--+
Know ye the land where the cypress and myrtle are	+--+--+--+--
emblems of deeds that are done in their clime where the	+--+--+--+--
rage of the vulture the love of the turtle now melt	+--+--+--+--+
into softness now madden to crime. Know ye the land	--+--x--x+--+
of the cedar and vine where the flow'rs ever blossom	--+--+--+--+-
the beams ever shine where the light wings of zephyr	-+--+-++-+++
op press'd with per fume wax faint o'er the gardens	-+--+++--+-
of Gul in her bloom where the citron and olive are	-+--+--+--+--
fairest of fruit and the voice of the nightingale	+--+--+--+--
never is mute where the virgins are soft as the roses	+--+--+--+--+-
they twine and all save the spirit of man is di-	-+++--+--+--
vine tis the land of the East tis the clime of the	+--+--+--+--
Sun can he smile on such deeds as his children have	+--+--+--+--
done oh wild as the accents of lovers' fare- well are	-++--+--+--+-
the hearts that they bear and the tales that they	-+--+x-+--
Ludere quæ vel lem cala mo per misit a	+-+++--+++--
Man is a complex, compound compost, yet is he	+--+++++++--
When the fierce north-wind, with his airy forces,	+-++---+-+-
Rears up the Baltic to a foaming fury;	+--+---+-+-
And the red lightning with a storm of hail comes	x-++---+-+-
