My eye, what fun,	-+-+
Jack Sprat eat all the fat,	-+-+-+
Adieu my boots, companions old,	-+-+-+-+
Come, Tragic Muse, in tatter’d vest array’d,	-+-+-+-+-+
His worship gave the word, and Snooks was borne away.	-+-+-+-+-+-+
Good people all, I pray draw near, for you I needs must tell,	-+-+-+-+-+-+-+
I wish I were a little p ig	-+-+-+---
Youth inclined to wed,	+-+-+
Sing a son g of sixpence.	+----+-
Thrice my coat, have o’er thee roll’d,	+-+-+-+
Ugh! you little lump of blubber,	+-+-+-+-
Chrononhotonthologos the Great,	+-+-+-+-+
Here lies Mary, wife of Thomas Carter,	+-+-+-+-+-
Celia the cruel, resolv’d not to marry soon,	+--+--+--+--
Set a schoolboy at work	--+--+
And how soon the young glutton	--+--+-
Amaryllis was slender and tall,	--+--+--+
Have you e’er had the luck to see Donny brook Fair?	--+--+--+--+
In the dead of the night, when with dire caterwauling	--+--+--+--+-
