Whan-that Aprille with his-shoures sote	+--+--++
The-droght' of-Marche hath-perced to the-rote.	-+-+-++-+
Of-which vertu engendred is the-flour	-+-+-+-+-+
That-fro the-tyme that he-first bigan	---++-+-+
A l bismot'red with his-haber. geoun	---++--++
That no-drope ne-fill' upon hir-brest	+-+-+-+-+
Ginglen in a-whistling wind as-clere	+-+-+-+-+
For to-delen with no-swich poraille	+--++-+-+
Noes flood com'-walwing as the-see	++-+-+-+
And-after amor uincit omni. a	-+-+-+-+-+
And thus with-feyned flate. ry' and-japes	-+-+++-+
